"ID","Description","DisGeNET_GeneRatio","DisGeNet_BgRatio","DisGeNet_pvalue","DisGeNet_p.adjust","DisGeNet_qvalue","ENTREZID","DisGeNEt_Count"
"C0024419","Waldenstrom Macroglobulinemia","7/95","162/21671",7.29154057299258e-06,0.00854898884504949,0.00748932531207891,"613/115650/930/23205/3662/60468/6382",7
"C0741796","Recurrent bronchitis","4/95","29/21671",7.56679941714203e-06,0.00854898884504949,0.00748932531207891,"115650/930/3662/29851",4
"C2936665","Immunoglobulin Deficiency, Late-Onset","3/95","11/21671",1.31270462112084e-05,0.00854898884504949,0.00748932531207891,"115650/930/29851",3
"C4014733","Follicular hyperplasia","3/95","11/21671",1.31270462112084e-05,0.00854898884504949,0.00748932531207891,"115650/930/29851",3
"C1848389","Posterior pharyngeal cleft","3/95","12/21671",1.74470710627819e-05,0.00908992402370938,0.00796321053981288,"115650/930/29851",3
"C2607914","Allergic rhinitis (disorder)","10/95","446/21671",2.61669939429349e-05,0.0113608365368909,0.00995263909969877,"930/3662/60468/10804/729230/5328/640/1958/8038/29851",10
"C4721532","Lymphoma, Non-Hodgkin, Familial","10/95","462/21671",3.52731630435896e-05,0.0115856305172123,0.0101495694358284,"613/115650/930/23205/3662/60468/729230/2324/8038/29851",10
"C0009447","Common Variable Immunodeficiency","7/95","207/21671",3.55796714540109e-05,0.0115856305172123,0.0101495694358284,"613/115650/930/3662/640/6382/29851",7
"C2936664","Acquired Hypogammaglobulinemia","5/95","89/21671",4.51774321966498e-05,0.0130763567635859,0.0114555173102148,"115650/930/3662/640/29851",5
"C0024314","Lymphoproliferative Disorders","8/95","300/21671",5.26382511905722e-05,0.0137122644351441,0.0120126030085432,"613/115650/930/23205/3824/3662/6382/29851",8
"C1860127","Impaired T cell function","3/95","18/21671",6.34886170065588e-05,0.0150352588456442,0.0131716097292076,"115650/930/29851",3
"C0237123","Alcohol or Other Drugs use","5/95","108/21671",0.000113633055014892,0.0228211353071387,0.0199924118985258,"414/10810/2166/3855/9456",5
"C0398650","Immune thrombocytopenic purpura","8/95","338/21671",0.000120624706799853,0.0228211353071387,0.0199924118985258,"115650/930/23205/79017/3824/3662/729230/29851",8
"C0021345","Infectious Mononucleosis","4/95","58/21671",0.000122647176314757,0.0228211353071387,0.0199924118985258,"930/3824/5328/5270",4
"C0862030","Precursor B-lymphoblastic lymphoma/leukemia","3/95","25/21671",0.000175012203120461,0.0303937859419201,0.0266264179905375,"613/930/3662",3
"C0220605","Adult Non-Hodgkin Lymphoma","8/95","370/21671",0.000223529241861787,0.0348829161429278,0.0305591119094322,"613/115650/930/23205/3662/60468/8038/29851",8
"C0220612","Childhood Non-Hodgkin Lymphoma","8/95","371/21671",0.000227642830875152,0.0348829161429278,0.0305591119094322,"613/115650/930/23205/3662/60468/8038/29851",8
