gene_name	segmentation_preselection_corellation	Pearson	PearsonVar	Spearman	SpearmanVar	MSE	MSEVar	pVal	qVal	number_of_features	nzero_value	number_of_features_ols	nzero_ols	only_zero_coefficients_ols
ENSG00000000971_10	Pearson	0.325258244246176	0.0899922183016445	0.2	0.048	0.991011885765322	0.374544882060859	0.0253549600667876	0.569153257412143	8	3	3	3	0
ENSG00000001167_10	Pearson	0.39260361910684	0.0631959107221105	0.4	0.06	1.00894726525297	0.328200362763446	0.0179485327136462	0.435307269241203	7	6	6	6	0
ENSG00000001460_10	Pearson	0.379594294345946	0.0871798242687979	0.3	0.136	0.883280333169882	0.160464708133275	0.0358104511897587	0.747696192940252	5	4	4	4	0
ENSG00000001561_10	Pearson	0.562295162646378	0.0777574373369326	0.55	0.115	0.73991769980309	0.156086087448316	0.000110694749999181	0.0120654372919827	3	3	3	3	0
ENSG00000002587_10	Pearson	0.547772156421226	0.0198175448645858	0.35	0.107	0.94972019412059	0.357939840756945	0.0726328240035025	1	8	8	8	8	0
ENSG00000002745_10	Pearson	0.250831870410425	0.0492584468586789	0.133333333333333	0.0546666666666666	1.36772044308606	0.801397339945267	0.881216685852291	1	5	4	5	5	0
ENSG00000002919_10	Pearson	0.706630461081433	0.0123523425874948	0.55	0.043	1.05966771973139	1.06635141381314	0.000289710482527735	0.0228253442703593	6	6	6	6	0
ENSG00000002933_10	Pearson	0.358005282762269	0.107188450106375	0.233333333333333	0.102666666666667	1.27550262010939	1.61785833947386	0.00816619895182955	0.238552634817254	5	3	4	4	0
ENSG00000003249_10	Pearson	0.165575624699056	0.0797227962825585	0.233333333333333	0.0906666666666666	1.61806898568293	1.49274806333993	0.100186233861727	1	5	5	5	5	0
ENSG00000004468_10	Pearson	0.332121834489491	0.0819655153953517	0.269697474409935	0.105873821493125	1.79846269249385	1.45342537460365	0.417886083148599	1	5	5	5	5	0
ENSG00000004478_10	Pearson	0.231791130838268	0.0682663298860733	0.25	0.0989999999999999	1.12846920535861	0.118389296233329	0.0689673762371763	1	9	8	8	8	0
ENSG00000004660_10	Pearson	0.438009565220835	0.200392882697798	0.3	0.252	0.830770984993969	0.242024066267783	0.211361139268519	1	2	2	2	2	0
ENSG00000004777_10	Pearson	0.52721232378016	0.0874760325394957	0.4	0.152	0.877885388407153	0.590741692760702	0.058645479517141	1	6	6	6	6	0
ENSG00000004799_10	Pearson	0.536608339542903	0.0960017239177362	0.481711074288665	0.157334802773403	0.771391855158133	0.99184562953525	0.01254062662202	0.330706256380726	4	4	4	4	0
