"ENSEMBL","ENTREZID","SYMBOL","ALIAS","GENENAME","GENETYPE","UNIPROT"
"
    ENSG00000002933",NA,NA,NA,NA,NA,NA
"
    ENSG00000070444",NA,NA,NA,NA,NA,NA
"
    ENSG00000116857",NA,NA,NA,NA,NA,NA
"
    ENSG00000118420",NA,NA,NA,NA,NA,NA
"
    ENSG00000119688",NA,NA,NA,NA,NA,NA
"
    ENSG00000124588",NA,NA,NA,NA,NA,NA
"
    ENSG00000126217",NA,NA,NA,NA,NA,NA
"
    ENSG00000129422",NA,NA,NA,NA,NA,NA
"
    ENSG00000150594",NA,NA,NA,NA,NA,NA
"
    ENSG00000153774",NA,NA,NA,NA,NA,NA
"
    ENSG00000160856",NA,NA,NA,NA,NA,NA
"
    ENSG00000164011",NA,NA,NA,NA,NA,NA
"
    ENSG00000175029",NA,NA,NA,NA,NA,NA
"
    ENSG00000176293",NA,NA,NA,NA,NA,NA
"
    ENSG00000179455",NA,NA,NA,NA,NA,NA
"
    ENSG00000183066",NA,NA,NA,NA,NA,NA
"ENSG00000004478","2288","FKBP4","FKBP51/FKBP52/FKBP59/HBI/Hsp56/PPIase/p52/FKBP4","FKBP prolyl isomerase 4","protein-coding","Q02790"
"ENSG00000006282","64847","SPATA20","HEL-S-98/SSP411/Tisp78/SPATA20","spermatogenesis associated 20","protein-coding","Q8TB22"
"ENSG00000006625","79017","GGCT","C7orf24/CRF21/GCTG/GGC/GGCT","gamma-glutamylcyclotransferase","protein-coding","O75223"
"ENSG00000006625","79017","GGCT","C7orf24/CRF21/GCTG/GGC/GGCT","gamma-glutamylcyclotransferase","protein-coding","A0A090N7V5"
"ENSG00000006756","414","ARSD","ASD/ARSD","arylsulfatase D","protein-coding","A0A140VK06"
"ENSG00000006756","414","ARSD","ASD/ARSD","arylsulfatase D","protein-coding","P51689"
"ENSG00000015676","23386","NUDCD3","NudCL/NUDCD3","NudC domain containing 3","protein-coding","Q8IVD9"
"ENSG00000037280","2324","FLT4","CHTD7/FLT-4/FLT41/LMPH1A/LMPHM1/PCL/VEGFR-3/VEGFR3/FLT4","fms related receptor tyrosine kinase 4","protein-coding","P35916"
"ENSG00000069188","54549","SDK2","SDK2","sidekick cell adhesion molecule 2","protein-coding","Q58EX2"
"ENSG00000069535","4129","MAOB","MAOB","monoamine oxidase B","protein-coding","B7Z242"
"ENSG00000069535","4129","MAOB","MAOB","monoamine oxidase B","protein-coding","P27338"
"ENSG00000070501","5423","POLB","POLB","DNA polymerase beta","protein-coding","B7Z1W5"
"ENSG00000070501","5423","POLB","POLB","DNA polymerase beta","protein-coding","P06746"
"ENSG00000074416","11343","MGLL","HU-K5/HUK5/MAGL/MGL/MGLL","monoglyceride lipase","protein-coding","Q99685"
"ENSG00000074416","11343","MGLL","HU-K5/HUK5/MAGL/MGL/MGLL","monoglyceride lipase","protein-coding","A0A0C4DFN3"
"ENSG00000074416","11343","MGLL","HU-K5/HUK5/MAGL/MGL/MGLL","monoglyceride lipase","protein-coding","E7EWX8"
"ENSG00000074416","11343","MGLL","HU-K5/HUK5/MAGL/MGL/MGLL","monoglyceride lipase","protein-coding","B2ZGL7"
"ENSG00000074527","59277","NTN4","PRO3091/NTN4","netrin 4","protein-coding","Q9HB63"
"ENSG00000074527","59277","NTN4","PRO3091/NTN4","netrin 4","protein-coding","B2RE43"
"ENSG00000074527","59277","NTN4","PRO3091/NTN4","netrin 4","protein-coding","A8K3H6"
"ENSG00000076716","2239","GPC4","K-glypican/KPTS/GPC4","glypican 4","protein-coding","O75487"
"ENSG00000087237","1071","CETP","BPIFF/HDLCQ10/CETP","cholesteryl ester transfer protein","protein-coding","B4DMZ5"
"ENSG00000087237","1071","CETP","BPIFF/HDLCQ10/CETP","cholesteryl ester transfer protein","protein-coding","A0A0S2Z3I8"
"ENSG00000087237","1071","CETP","BPIFF/HDLCQ10/CETP","cholesteryl ester transfer protein","protein-coding","P11597"
"ENSG00000087237","1071","CETP","BPIFF/HDLCQ10/CETP","cholesteryl ester transfer protein","protein-coding","A0A0S2Z3F6"
"ENSG00000099617","1943","EFNA2","ELF-1/EPLG6/HEK7-L/LERK-6/LERK6/EFNA2","ephrin A2","protein-coding","O43921"
"ENSG00000099864","5064","PALM","PALM1/PALM","paralemmin","protein-coding","A0A024R207"
"ENSG00000099864","5064","PALM","PALM1/PALM","paralemmin","protein-coding","O75781"
"ENSG00000099864","5064","PALM","PALM1/PALM","paralemmin","protein-coding","A0A024R1Y6"
"ENSG00000100448","1511","CTSG","CATG/CG/CTSG","cathepsin G","protein-coding","P08311"
"ENSG00000103740","23205","ACSBG1","BG/BG1/BGM/GR-LACS/LPD/ACSBG1","acyl-CoA synthetase bubblegum family member 1","protein-coding","B3KNS7"
"ENSG00000103740","23205","ACSBG1","BG/BG1/BGM/GR-LACS/LPD/ACSBG1","acyl-CoA synthetase bubblegum family member 1","protein-coding","Q96GR2"
"ENSG00000103740","23205","ACSBG1","BG/BG1/BGM/GR-LACS/LPD/ACSBG1","acyl-CoA synthetase bubblegum family member 1","protein-coding","B7Z2Y6"
"ENSG00000105991","3198","HOXA1","BSAS/HOX1/HOX1F/HOXA1","homeobox A1","protein-coding","P49639"
"ENSG00000107731","219699","UNC5B","UNC5H2/p53RDL1/UNC5B","unc-5 netrin receptor B","protein-coding","Q8IZJ1"
"ENSG00000107902","64077","LHPP","HDHD2B/LHPP","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","protein-coding","Q5T1Z0"
"ENSG00000107902","64077","LHPP","HDHD2B/LHPP","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","protein-coding","Q9H008"
"ENSG00000108786","3292","HSD17B1","17-beta-HSD/20-alpha-HSD/E2DH/EDH17B2/EDHB17/HSD17/SDR28C1/HSD17B1","hydroxysteroid 17-beta dehydrogenase 1","protein-coding","A0A0A0MQS7"
"ENSG00000108786","3292","HSD17B1","17-beta-HSD/20-alpha-HSD/E2DH/EDH17B2/EDHB17/HSD17/SDR28C1/HSD17B1","hydroxysteroid 17-beta dehydrogenase 1","protein-coding","P14061"
"ENSG00000112182","60468","BACH2","BTBD25/IMD60/BACH2","BTB domain and CNC homolog 2","protein-coding","Q9BYV9"
"ENSG00000113356","10622","POLR3G","C31/RPC32/RPC7/POLR3G","RNA polymerase III subunit G","protein-coding","A0A024RAM1"
"ENSG00000113356","10622","POLR3G","C31/RPC32/RPC7/POLR3G","RNA polymerase III subunit G","protein-coding","O15318"
"ENSG00000114450","59345","GNB4","CMTD1F/HG2B/GNB4","G protein subunit beta 4","protein-coding","Q9HAV0"
"ENSG00000115112","29842","TFCP2L1","CRTR1/LBP-9/LBP9/TFCP2L1","transcription factor CP2 like 1","protein-coding","Q9NZI6"
"ENSG00000115884","6382","SDC1","CD138/SDC/SYND1/syndecan/SDC1","syndecan 1","protein-coding","P18827"
"ENSG00000117480","2166","FAAH","FAAH-1/FAAH1/PSAB/FAAH","fatty acid amide hydrolase","protein-coding","Q9UG55"
"ENSG00000117480","2166","FAAH","FAAH-1/FAAH1/PSAB/FAAH","fatty acid amide hydrolase","protein-coding","O00519"
"ENSG00000119411","54836","BSPRY","BSPRY","B-box and SPRY domain containing","protein-coding","Q5W0U4"
"ENSG00000120738","1958","EGR1","AT225/G0S30/KROX-24/NGFI-A/TIS8/ZIF-268/ZNF225/EGR1","early growth response 1","protein-coding","P18146"
"ENSG00000120738","1958","EGR1","AT225/G0S30/KROX-24/NGFI-A/TIS8/ZIF-268/ZNF225/EGR1","early growth response 1","protein-coding","Q546S1"
"ENSG00000121742","10804","GJB6","CX30/DFNA3/DFNA3B/DFNB1B/ECTD2/ED2/EDH/HED/HED2/GJB6","gap junction protein beta 6","protein-coding","A0A024RDS4"
"ENSG00000121742","10804","GJB6","CX30/DFNA3/DFNA3B/DFNB1B/ECTD2/ED2/EDH/HED/HED2/GJB6","gap junction protein beta 6","protein-coding","O95452"
"ENSG00000121807","729230","CCR2","CC-CKR-2/CCR-2/CCR2A/CCR2B/CD192/CKR2/CKR2A/CKR2B/CMKBR2/MCP-1-R/CCR2","C-C motif chemokine receptor 2","protein-coding","P41597"
"ENSG00000121807","729230","CCR2","CC-CKR-2/CCR-2/CCR2A/CCR2B/CD192/CKR2/CKR2A/CKR2B/CMKBR2/MCP-1-R/CCR2","C-C motif chemokine receptor 2","protein-coding","A0A024R2Q0"
"ENSG00000122861","5328","PLAU","ATF/BDPLT5/QPD/UPA/URK/u-PA/PLAU","plasminogen activator, urokinase","protein-coding","A0A024QZM9"
"ENSG00000122861","5328","PLAU","ATF/BDPLT5/QPD/UPA/URK/u-PA/PLAU","plasminogen activator, urokinase","protein-coding","B4DNJ4"
"ENSG00000122861","5328","PLAU","ATF/BDPLT5/QPD/UPA/URK/u-PA/PLAU","plasminogen activator, urokinase","protein-coding","Q59GZ8"
"ENSG00000122861","5328","PLAU","ATF/BDPLT5/QPD/UPA/URK/u-PA/PLAU","plasminogen activator, urokinase","protein-coding","P00749"
"ENSG00000126266","2864","FFAR1","FFA1R/GPCR40/GPR40/FFAR1","free fatty acid receptor 1","protein-coding","O14842"
"ENSG00000128218","29802","VPREB3","8HS20/N27C7-2/VPREB3","V-set pre-B cell surrogate light chain 3","protein-coding","Q9UKI3"
"ENSG00000128253","10739","RFPL2","RNF79/RFPL2","ret finger protein like 2","protein-coding","O75678"
"ENSG00000130518","80726","IQCN","KIAA1683/SPGF78/IQCN","IQ motif containing N","protein-coding","Q9H0B3"
"ENSG00000130518","80726","IQCN","KIAA1683/SPGF78/IQCN","IQ motif containing N","protein-coding","A0JP07"
"ENSG00000131398","3748","KCNC3","KSHIIID/KV3.3/SCA13/KCNC3","potassium voltage-gated channel subfamily C member 3","protein-coding","Q14003"
"ENSG00000132481","91107","TRIM47","GOA/RNF100/TRIM47","tripartite motif containing 47","protein-coding","Q96LD4"
"ENSG00000132773","114034","TOE1","PCH7/TOE-1/hCaf1z/TOE1","target of EGR1, exonuclease","protein-coding","Q96GM8"
"ENSG00000132970","10810","WASF3","Brush-1/SCAR3/WAVE3/WASF3","WASP family member 3","protein-coding","Q5T8P4"
"ENSG00000132970","10810","WASF3","Brush-1/SCAR3/WAVE3/WASF3","WASP family member 3","protein-coding","Q9UPY6"
"ENSG00000133069","9911","TMCC2","HUCEP11/TMCC2","transmembrane and coiled-coil domain family 2","protein-coding","A0A1B0GUZ3"
"ENSG00000133069","9911","TMCC2","HUCEP11/TMCC2","transmembrane and coiled-coil domain family 2","protein-coding","G5E963"
"ENSG00000133069","9911","TMCC2","HUCEP11/TMCC2","transmembrane and coiled-coil domain family 2","protein-coding","A0A0C4DFR1"
"ENSG00000133069","9911","TMCC2","HUCEP11/TMCC2","transmembrane and coiled-coil domain family 2","protein-coding","O75069"
"ENSG00000133069","9911","TMCC2","HUCEP11/TMCC2","transmembrane and coiled-coil domain family 2","protein-coding","Q8IW47"
"ENSG00000133424","9215","LARGE1","LARGE/MDC1D/MDDGA6/MDDGB6/LARGE1","LARGE xylosyl- and glucuronyltransferase 1","protein-coding","X5DR28"
"ENSG00000133424","9215","LARGE1","LARGE/MDC1D/MDDGA6/MDDGB6/LARGE1","LARGE xylosyl- and glucuronyltransferase 1","protein-coding","O95461"
"ENSG00000134243","6272","SORT1","Gp95/LDLCQ6/NT3/NTR3/SORT1","sortilin 1","protein-coding","Q99523"
"ENSG00000134539","3824","KLRD1","CD94/KLRD1","killer cell lectin like receptor D1","protein-coding","Q13241"
"ENSG00000134539","3824","KLRD1","CD94/KLRD1","killer cell lectin like receptor D1","protein-coding","Q53ZY6"
"ENSG00000135476","9700","ESPL1","ESP1/SEPA/ESPL1","extra spindle pole bodies like 1, separase","protein-coding","Q14674"
"ENSG00000135480","3855","KRT7","CK7/K2C7/K7/SCL/KRT7","keratin 7","protein-coding","P08729"
"ENSG00000135919","5270","SERPINE2","GDN/GDNPF/PI-7/PI7/PN-1/PN1/PNI/SERPINE2","serpin family E member 2","protein-coding","P07093"
"ENSG00000135919","5270","SERPINE2","GDN/GDNPF/PI-7/PI7/PN-1/PN1/PNI/SERPINE2","serpin family E member 2","protein-coding","A0A024R498"
"ENSG00000135919","5270","SERPINE2","GDN/GDNPF/PI-7/PI7/PN-1/PN1/PNI/SERPINE2","serpin family E member 2","protein-coding","A0A024R451"
"ENSG00000136158","10253","SPRY2","IGAN3/hSPRY2/SPRY2","sprouty RTK signaling antagonist 2","protein-coding","O43597"
"ENSG00000136573","640","BLK","MODY11/BLK","BLK proto-oncogene, Src family tyrosine kinase","protein-coding","P51451"
